7J0|Japan (Shin'etsu), Guest Operators
FU FV FX FZ|France, Special Station
F##|France, Special Station
T[HMPQVW]# H[W-Y]#|France, Special Station
F[A-FILNQUVZ]## T[HMPQVW]## H[W-Y]##|France, Special Station
TK|France
TO|France
TP TP#CE TP##CE|France, European Council Strassbourg
F0|France, Class 3
F1 F4%%%|France, Class 2
G#% G[FLY]#%|England, Special or Contest Station
M#% M[EFGLVY]#%|England, Special or Contest Station
G/%%% G/%%%% G/%%%%% G/%%%%%% G/%%%%%%% G/%%%%%%%%|England, CEPT
G#/%%% G#/%%%% G#/%%%%% G#/%%%%%% G#/%%%%%%% G#/%%%%%%%%|England, CEPT
M/%%% M/%%%% M/%%%%% M/%%%%%% M/%%%%%%% M/%%%%%%%%|England, CEPT
M#/%%% M#/%%%% M#/%%%%% M#/%%%%%% M#/%%%%%%% M#/%%%%%%%%|England, CEPT
2E0%%%|England, Intermediate License HF
2E1%%%|England, Intermediate License VHF
G1%%% G[6-8]%%%|England, Full License VHF
M1%%%|England, Full License VHF
GX#%% MX#%% GX#%%% MX#%%%|England, Club Station
GE GE#|United Kingdom, Silver Jubilee of Queen Elizabeth II.
GG100%% GG100%%%|England, Northampton, 100 years of the Girlguides
GO MO 2O GO# MO# 2O#[0-9][A-Z]%%|United Kingdom, Olympic Games and Paralympic Games
GQ MQ 2Q GQ# MQ# 2Q#|United Kingdom, Golden Jubilee of Queen Elizabeth II.
GQ MQ 2Q GQ# MQ# 2Q#|United Kingdom, Diamond Jubilee of Queen Elizabeth II.
GR MR 2R GR# MR# 2R#|United Kingdom, Royal Wedding Special Call
GV|United Kingdom, 40th anniversary of the end of WWII
M3%%%|England, Foundation License
M6%%%|England, Foundation License
2[BE-GKLOQRVY]# G[EFGKLOY]# M[EFGKLOVY]# Z[H-J]|England, Special Station
GB2012|United Kingdom, Olympic Games and Paralympic Games
2O12%|United Kingdom, Olympic Games and Paralympic Games, Flagship Station
G100 M100 GB100 MB100|England, RSGB Centenary
M0[A-Z]%%|England, Full License, originally issued as Class A License
M1[A-Z]%%|England, Full License, originally issued as Class B License
M5[A-Z]%%|England, Full License, originally issued as Class A/B License
G2%[A-Z]|England, Full License (originally issued 1920 - 1939)
G3%[A-Z]|England, Full License (originally issued 1937 - 1938)
G4%[A-Z]|England, Full License (originally issued 1938 - 1939)
G5%[A-Z]|England, Full License (originally issued 1921 - 1939)
G6%[A-Z]|England, Full License (originally issued 1921 - 1939)
G8%[A-Z]|England, Full License (originally issued 1936 - 1937)
G0[A-Z]%% G0[A-Z]%%/A|England, Full License, originally issued as Class A License 1986 - 1996
G1[A-Z]%% G1[A-Z]%%/A|England, Full License, originally issued as Class B (VHF) License 1983 - 1988
G2[A-Z]%% G2[A-Z]%%/A|England, Full License, originally issued as "Artificial Aerial" License 1920 - 1939
G3[A-Z]%% G3[A-Z]%%/A|England, Full License, originally issued as Class A License 1946 - 1971
G4[A-Z]%% G4[A-Z]%%/A|England, Full License, originally issued as Class A License 1971 - 1985
G5[A-Z]%% G5[A-Z]%%/A|England, Guest Operators, reciprocal ham radio License
G6[A-Z]%% G6[A-Z]%%/A|England, Full License, originally issued as Class B (VHF) License 1981 - 1983
G7[A-Z]%% G7[A-Z]%%/A|England, Full License, originally issued as Class B (VHF) License 1989 - 1996
G8[A-Z]%% G8[A-Z]%%/A|England, Full License, originally issued as Class B (VHF) License 1964 - 1981
GK MK GK# MK#|England, Cornwall (Kernow), Full License
2K 2K#|England, Cornwall (Kernow), Intermediate License
GD 2D 2T MD0 GT# MT# 2D# 2T#|Isle of Man
GD/%%% GD/%%%% GD/%%%%% GD/%%%%%% GD/%%%%%%% GD/%%%%%%%%|Isle of Man, CEPT
GD#/%%% GD#/%%%% GD#/%%%%% GD#/%%%%%% GD#/%%%%%%% GD#/%%%%%%%%|Isle of Man, CEPT
MD/%%% MD/%%%% MD/%%%%% MD/%%%%%% MD/%%%%%%% MD/%%%%%%%%|Isle of Man, CEPT
MD#/%%% MD#/%%%% MD#/%%%%% MD#/%%%%%% MD#/%%%%%%% MD#/%%%%%%%%|Isle of Man, CEPT
2D0[A-Z]%% 2T0[A-Z]%%|Isle of Man, Intermediate License HF
2D1[A-Z]%% 2T1[A-Z]%%|Isle of Man, Intermediate License VHF
GD1[A-Z]%% MD1[A-Z]%% GD[6-8][A-Z]%%|Isle of Man, Full License VHF
GT#%% MT#%% GT#[A-Z]%% MT#[A-Z]%%|Isle of Man, Club Station
MD|Isle of Man
MD3[A-Z]%%|Isle of Man, Foundation License
MD6[A-Z]%%|Isle of Man, Foundation License
GD#% MD#% GT#% MT#% 2D#% 2T#%|Isle of Man, Special or Contest Station
GD100 MD100|Isle of Man, RSGB Centenary
MD0[A-Z]%%|Isle of Man, Full License, originally issued as Class A License
MD1[A-Z]%%|Isle of Man, Full License, originally issued as Class B License
MD5[A-Z]%%|Isle of Man, Full License, originally issued as Class A/B License
GD2%[A-Z]|Isle of Man, Full License (originally issued 1920 - 1939)
GD3%[A-Z]|Isle of Man, Full License (originally issued 1937 - 1938)
GD4%[A-Z]|Isle of Man, Full License (originally issued 1938 - 1939)
GD5%[A-Z]|Isle of Man, Full License (originally issued 1921 - 1939)
GD6%[A-Z]|Isle of Man, Full License (originally issued 1921 - 1939)
GD8%[A-Z]|Isle of Man, Full License (originally issued 1936 - 1937)
GD0[A-Z]%% GD0[A-Z]%%/A|Isle of Man, Full License, originally issued as Class A License 1986 - 1996
GD1[A-Z]%% GD1[A-Z]%%/A|Isle of Man, Full License, originally issued as Class B (VHF) License 1983 - 1988
GD2[A-Z]%% GD2[A-Z]%%/A|Isle of Man, Full License, originally issued as "Artificial Aerial" License 1920 - 1939
GD3[A-Z]%% GD3[A-Z]%%/A|Isle of Man, Full License, originally issued as Class A License 1946 - 1971
GD4[A-Z]%% GD4[A-Z]%%/A|Isle of Man, Full License, originally issued as Class A License 1971 - 1985
GD5[A-Z]%% GD5[A-Z]%%/A|Isle of Man, Guest Operators, reciprocal ham radio License
GD6[A-Z]%% GD6[A-Z]%%/A|Isle of Man, Full License, originally issued as Class B (VHF) License 1981 - 1983
GD7[A-Z]%% GD7[A-Z]%%/A|Isle of Man, Full License, originally issued as Class B (VHF) License 1989 - 1996
GD8[A-Z]%% GD8[A-Z]%%/A|Isle of Man, Full License, originally issued as Class B (VHF) License 1964 - 1981
GI GN MN 2I 2N MI0 GI# GN# MN# 2I# 2N#|Northern Ireland
GI/%%% GI/%%%% GI/%%%%% GI/%%%%%% GI/%%%%%%% GI/%%%%%%%%|Northern Ireland, CEPT
GI#/%%% GI#/%%%% GI#/%%%%% GI#/%%%%%% GI#/%%%%%%% GI#/%%%%%%%%|Northern Ireland, CEPT
MI/%%% MI/%%%% MI/%%%%% MI/%%%%%% MI/%%%%%%% MI/%%%%%%%%|Northern Ireland, CEPT
MI#/%%% MI#/%%%% MI#/%%%%% MI#/%%%%%% MI#/%%%%%%% MI#/%%%%%%%%|Northern Ireland, CEPT
2I0[A-Z]%% 2N0[A-Z]%%|Northern Ireland, Intermediate License HF
2I1[A-Z]%% 2N1[A-Z]%%|Northern Ireland, Intermediate License VHF
GI1[A-Z]%% MI1[A-Z]%% GI[6-8][A-Z]%%|Northern Ireland, Full License VHF
GN#%% MN#%% GN#[A-Z]%% MN#[A-Z]%%|Northern Ireland, Club Station
MI|Northern Ireland
MI3[A-Z]%%|Northern Ireland, Foundation License
MI6[A-Z]%%|Northern Ireland, Foundation License
GI#% MI#% GN#% MN#% 2I#% 2N#%|Northern Ireland, Special or Contest Station
GI100 MI100|Northern Ireland, RSGB Centenary
MI0[A-Z]%%|Northern Ireland, Full License, originally issued as Class A License
MI1[A-Z]%%|Northern Ireland, Full License, originally issued as Class B License
MI5[A-Z]%%|Northern Ireland, Full License, originally issued as Class A/B License
GI2%[A-Z]|Northern Ireland, Full License (originally issued 1920 - 1939)
GI3%[A-Z]|Northern Ireland, Full License (originally issued 1937 - 1938)
GI4%[A-Z]|Northern Ireland, Full License (originally issued 1938 - 1939)
GI5%[A-Z]|Northern Ireland, Full License (originally issued 1921 - 1939)
GI6%[A-Z]|Northern Ireland, Full License (originally issued 1921 - 1939)
GI8%[A-Z]|Northern Ireland, Full License (originally issued 1936 - 1937)
GI0[A-Z]%% GI0[A-Z]%%/A|Northern Ireland, Full License, originally issued as Class A License 1986 - 1996
GI1[A-Z]%% GI1[A-Z]%%/A|Northern Ireland, Full License, originally issued as Class B (VHF) License 1983 - 1988
GI2[A-Z]%% GI2[A-Z]%%/A|Northern Ireland, Full License, originally issued as "Artificial Aerial" License 1920 - 1939
GI3[A-Z]%% GI3[A-Z]%%/A|Northern Ireland, Full License, originally issued as Class A License 1946 - 1971
GI4[A-Z]%% GI4[A-Z]%%/A|Northern Ireland, Full License, originally issued as Class A License 1971 - 1985
GI5[A-Z]%% GI5[A-Z]%%/A|Northern Ireland, Guest Operators, reciprocal ham radio License
GI6[A-Z]%% GI6[A-Z]%%/A|Northern Ireland, Full License, originally issued as Class B (VHF) License 1981 - 1983
GI7[A-Z]%% GI7[A-Z]%%/A|Northern Ireland, Full License, originally issued as Class B (VHF) License 1989 - 1996
GI8[A-Z]%% GI8[A-Z]%%/A|Northern Ireland, Full License, originally issued as Class B (VHF) License 1964 - 1981
GJ MJ GH MH 2J 2H GJ# MJ# GH# MH# 2J# 2H#|Jersey, Intermediate License HF
GJ/%%% GJ/%%%% GJ/%%%%% GJ/%%%%%% GJ/%%%%%%% GJ/%%%%%%%%|Jersey, CEPT
GJ#/%%% GJ#/%%%% GJ#/%%%%% GJ#/%%%%%% GJ#/%%%%%%% GJ#/%%%%%%%%|Jersey, CEPT
MJ/%%% MJ/%%%% MJ/%%%%% MJ/%%%%%% MJ/%%%%%%% MJ/%%%%%%%%|Jersey, CEPT
MJ#/%%% MJ#/%%%% MJ#/%%%%% MJ#/%%%%%% MJ#/%%%%%%% MJ#/%%%%%%%%|Jersey, CEPT
2J0[A-Z]%% 2H0[A-Z]%%|Jersey, Intermediate License HF
2J1[A-Z]%% 2H1[A-Z]%%|Jersey, Intermediate License VHF
GJ1[A-Z]%% MJ1[A-Z]%% GJ[6-8][A-Z]%%|Jersey, Full License VHF
GC5[A-Z]%%|Jersey, Guest Operators
GH#%% MH#%% GH#[A-Z]%% MH#[A-Z]%%|Jersey, Club Station
GC2%[A-Z]|Jersey, Full License (originally issued 1920 - 1939)
GC3%[A-Z]|Jersey, Full License (originally issued 1937 - 1938)
GC4%[A-Z]|Jersey, Full License (originally issued 1938 - 1939)
GC5%[A-Z]|Jersey, Full License (originally issued 1921 - 1939)
GC6%[A-Z]|Jersey, Full License (originally issued 1921 - 1939)
GC8%[A-Z]|Jersey, Full License (originally issued 1936 - 1937)
GC2[A-Z]%% GC2[A-Z]%%/A|Jersey, Full License, originally issued as "Artificial Aerial" License 1920 - 1939
GC3[A-Z]%% GC3[A-Z]%%/A|Jersey, Full License, originally issued as Class A License 1946 - 1971
GC4[A-Z]%% GC4[A-Z]%%/A|Jersey, Full License, originally issued as Class A License 1971 - 1985
GC5[A-Z]%% GC5[A-Z]%%/A|Jersey, Guest Operators, reciprocal ham radio License
MJ3[A-Z]%%|Jersey, Foundation License
MJ6[A-Z]%%|Jersey, Foundation License
GJ#% MJ#% GH#% MH#% 2J#% 2H#%|Jersey, Special or Contest Station
GJ100 MJ100|Jersey, RSGB Centenary
MJ0[A-Z]%%|Jersey, Full License, originally issued as Class A License
MJ1[A-Z]%%|Jersey, Full License, originally issued as Class B License
MJ5[A-Z]%%|Jersey, Full License, originally issued as Class A/B License
GJ2%[A-Z]|Jersey, Full License (originally issued 1920 - 1939)
GJ3%[A-Z]|Jersey, Full License (originally issued 1937 - 1938)
GJ4%[A-Z]|Jersey, Full License (originally issued 1938 - 1939)
GJ5%[A-Z]|Jersey, Full License (originally issued 1921 - 1939)
GJ6%[A-Z]|Jersey, Full License (originally issued 1921 - 1939)
GJ8%[A-Z]|Jersey, Full License (originally issued 1936 - 1937)
GJ0[A-Z]%% GJ0[A-Z]%%/A|Jersey, Full License, originally issued as Class A License 1986 - 1996
GJ1[A-Z]%% GJ1[A-Z]%%/A|Jersey, Full License, originally issued as Class B (VHF) License 1983 - 1988
GJ2[A-Z]%% GJ2[A-Z]%%/A|Jersey, Full License, originally issued as "Artificial Aerial" License 1920 - 1939
GJ3[A-Z]%% GJ3[A-Z]%%/A|Jersey, Full License, originally issued as Class A License 1946 - 1971
GJ4[A-Z]%% GJ4[A-Z]%%/A|Jersey, Full License, originally issued as Class A License 1971 - 1985
GJ5[A-Z]%% GJ5[A-Z]%%/A|Jersey, Guest Operators, reciprocal ham radio License
GJ6[A-Z]%% GJ6[A-Z]%%/A|Jersey, Full License, originally issued as Class B (VHF) License 1981 - 1983
GJ7[A-Z]%% GJ7[A-Z]%%/A|Jersey, Full License, originally issued as Class B (VHF) License 1989 - 1996
GJ8[A-Z]%% GJ8[A-Z]%%/A|Jersey, Full License, originally issued as Class B (VHF) License 1964 - 1981
GM GA GS MM MA MS 2A 2M 2S GM# GA# GS# MM# MA# MS# 2A# 2M# 2S#|Scotland
GM/%%% GM/%%%% GM/%%%%% GM/%%%%%% GM/%%%%%%% GM/%%%%%%%%|Scotland, CEPT
GM#/%%% GM#/%%%% GM#/%%%%% GM#/%%%%%% GM#/%%%%%%% GM#/%%%%%%%%|Scotland, CEPT
MM/%%% MM/%%%% MM/%%%%% MM/%%%%%% MM/%%%%%%% MM/%%%%%%%%|Scotland, CEPT
MM#/%%% MM#/%%%% MM#/%%%%% MM#/%%%%%% MM#/%%%%%%% MM#/%%%%%%%%|Scotland, CEPT
2A#[A-Z]%% 2M0[A-Z]%% 2T0[A-Z]%%|Scotland, Intermediate License HF
2M1[A-Z]%% 2T1[A-Z]%%|Scotland, Intermediate License VHF
2Z0[A-Z]%%|Scotland, Shetlands, Intermediate License HF
2Z1[A-Z]%%|Scotland, Shetlands, Intermediate License VHF
GZ100 MZ100|Scotland, Shetlands, RSGB Centenary
GM1[A-Z]%% MM1[A-Z]%% GM[6-8][A-Z]%%|Scotland, Full License VHF
GM100 MM100|Scotland, RSGB Centenary
MS|Scotland
GS#%% MS#%% GS#[A-Z]%% MS#[A-Z]%%|Scotland, Club Station
GZ#%% MZ#%% GZ#[A-Z]%% MZ#[A-Z]%%|Scotland, Shetlands
MM3[A-Z]%%|Scotland, Foundation License
MM6[A-Z]%%|Scotland, Foundation License
GM#% GS#% MM#% MS#% 2A#% 2M#% 2S#%|Scotland, Special or Contest Station
GA# MA#|Scotland, "Year of Homecoming" Special Station
GZ MZ 2Z GZ# MZ# 2Z#|Scotland, Shetlands
GZ/%%% GZ/%%%% GZ/%%%%% GZ/%%%%%% GZ/%%%%%%% GZ/%%%%%%%%|Scotland, Shetlands, CEPT
GZ#/%%% GZ#/%%%% GZ#/%%%%% GZ#/%%%%%% GZ#/%%%%%%% GZ#/%%%%%%%%|Scotland, Shetlands, CEPT
MZ/%%% MZ/%%%% MZ/%%%%% MZ/%%%%%% MZ/%%%%%%% MZ/%%%%%%%%|Scotland, Shetlands, CEPT
MZ#/%%% MZ#/%%%% MZ#/%%%%% MZ#/%%%%%% MZ#/%%%%%%% MZ#/%%%%%%%%|Scotland, Shetlands, CEPT
GZ#% MZ#%|Scotland, Shetlands, Special or Contest Station
MM0[A-Z]%%|Scotland, Full License, originally issued as Class A License
MM1[A-Z]%%|Scotland, Full License, originally issued as Class B License
MM5[A-Z]%%|Scotland, Full License, originally issued as Class A/B License
GM2%[A-Z]|Scotland, Full License (originally issued 1920 - 1939)
GM3%[A-Z]|Scotland, Full License (originally issued 1937 - 1938)
GM4%[A-Z]|Scotland, Full License (originally issued 1938 - 1939)
GM5%[A-Z]|Scotland, Full License (originally issued 1921 - 1939)
GM6%[A-Z]|Scotland, Full License (originally issued 1921 - 1939)
GM8%[A-Z]|Scotland, Full License (originally issued 1936 - 1937)
GM0[A-Z]%% GM0[A-Z]%%/A|Scotland, Full License, originally issued as Class A License 1986 - 1996
GM1[A-Z]%% GM1[A-Z]%%/A|Scotland, Full License, originally issued as Class B (VHF) License 1983 - 1988
GM2[A-Z]%% GM2[A-Z]%%/A|Scotland, Full License, originally issued as "Artificial Aerial" License 1920 - 1939
GM3[A-Z]%% GM3[A-Z]%%/A|Scotland, Full License, originally issued as Class A License 1946 - 1971
GM4[A-Z]%% GM4[A-Z]%%/A|Scotland, Full License, originally issued as Class A License 1971 - 1985
GM5[A-Z]%% GM5[A-Z]%%/A|Scotland, Guest Operators, reciprocal ham radio License
GM6[A-Z]%% GM6[A-Z]%%/A|Scotland, Full License, originally issued as Class B (VHF) License 1981 - 1983
GM7[A-Z]%% GM7[A-Z]%%/A|Scotland, Full License, originally issued as Class B (VHF) License 1989 - 1996
GM8[A-Z]%% GM8[A-Z]%%/A|Scotland, Full License, originally issued as Class B (VHF) License 1964 - 1981
GU MU GP MP 2P 2U GU# MU# GP# 2P# 2U#|Guernsey
GU/%%% GU/%%%% GU/%%%%% GU/%%%%%% GU/%%%%%%% GU/%%%%%%%%|Guernsey, CEPT
GU#/%%% GU#/%%%% GU#/%%%%% GU#/%%%%%% GU#/%%%%%%% GU#/%%%%%%%%|Guernsey, CEPT
MU/%%% MU/%%%% MU/%%%%% MU/%%%%%% MU/%%%%%%% MU/%%%%%%%%|Guernsey, CEPT
MU#/%%% MU#/%%%% MU#/%%%%% MU#/%%%%%% MU#/%%%%%%% MU#/%%%%%%%%|Guernsey, CEPT
2U0[A-Z]%% 2P0[A-Z]%%|Guernsey, Intermediate License HF
2U1[A-Z]%% 2P1[A-Z]%%|Guernsey, Intermediate License VHF
GU1[A-Z]%% MU1[A-Z]%% GU[6-8][A-Z]%%|Guernsey, Full License VHF
GU100 MU100|Guernsey, RSGB Centenary
GP#%% MP#%% GP#[A-Z]%% MP#[A-Z]%%|Guernsey, Club Station
MU3[A-Z]%%|Guernsey, Foundation License
MU6[A-Z]%%|Guernsey, Foundation License
GP#% MP#% GU#% MU#% 2U#% 2P#%|Guernsey, Special or Contest Station
MU0[A-Z]%%|Guernsey, Full License, originally issued as Class A License
MU1[A-Z]%%|Guernsey, Full License, originally issued as Class B License
MU5[A-Z]%%|Guernsey, Full License, originally issued as Class A/B License
GU2%[A-Z]|Guernsey, Full License (originally issued 1920 - 1939)
GU3%[A-Z]|Guernsey, Full License (originally issued 1937 - 1938)
GU4%[A-Z]|Guernsey, Full License (originally issued 1938 - 1939)
GU5%[A-Z]|Guernsey, Full License (originally issued 1921 - 1939)
GU6%[A-Z]|Guernsey, Full License (originally issued 1921 - 1939)
GU8%[A-Z]|Guernsey, Full License (originally issued 1936 - 1937)
GU0[A-Z]%% GU0[A-Z]%%/A|Guernsey, Full License, originally issued as Class A License 1986 - 1996
GU1[A-Z]%% GU1[A-Z]%%/A|Guernsey, Full License, originally issued as Class B (VHF) License 1983 - 1988
GU2[A-Z]%% GU2[A-Z]%%/A|Guernsey, Full License, originally issued as "Artificial Aerial" License 1920 - 1939
GU3[A-Z]%% GU3[A-Z]%%/A|Guernsey, Full License, originally issued as Class A License 1946 - 1971
GU4[A-Z]%% GU4[A-Z]%%/A|Guernsey, Full License, originally issued as Class A License 1971 - 1985
GU5[A-Z]%% GU5[A-Z]%%/A|Guernsey, Guest Operators, reciprocal ham radio License
GU6[A-Z]%% GU6[A-Z]%%/A|Guernsey, Full License, originally issued as Class B (VHF) License 1981 - 1983
GU7[A-Z]%% GU7[A-Z]%%/A|Guernsey, Full License, originally issued as Class B (VHF) License 1989 - 1996
GU8[A-Z]%% GU8[A-Z]%%/A|Guernsey, Full License, originally issued as Class B (VHF) License 1964 - 1981
GW MW 2W 2C GW# MW# 2W# 2C#|Wales
GW/%%% GW/%%%% GW/%%%%% GW/%%%%%% GW/%%%%%%% GW/%%%%%%%%|Wales, CEPT
GW#/%%% GW#/%%%% GW#/%%%%% GW#/%%%%%% GW#/%%%%%%% GW#/%%%%%%%%|Wales, CEPT
MW/%%% MW/%%%% MW/%%%%% MW/%%%%%% MW/%%%%%%% MW/%%%%%%%%|Wales, CEPT
MW#/%%% MW#/%%%% MW#/%%%%% MW#/%%%%%% MW#/%%%%%%% MW#/%%%%%%%%|Wales, CEPT
2W0[A-Z]%% 2C0[A-Z]%% 2X0[A-Z]%% 2Y0[A-Z]%%|Wales, Intermediate License HF
2W1[A-Z]%% 2C1[A-Z]%% 2X1[A-Z]%% 2Y1[A-Z]%%|Wales, Intermediate License VHF
GW1[A-Z]%% MW1[A-Z]%% GW[6-8][A-Z]%%|Wales, Full License VHF
GW100 MW100|Wales, RSGB Centenary
GC# MC#|Wales, Club Station
MW3[A-Z]%%|Wales, Foundation License
MW6[A-Z]%%|Wales, Foundation License
